jsic	unified_id	reason
A	UNI-6d1dd79794	cap_per_jsic
A	UNI-6e86594c93	cap_per_jsic
A	UNI-732c12e892	cap_per_jsic
A	UNI-7386185029	cap_per_jsic
A	UNI-78a310aa2b	cap_per_jsic
A	UNI-7c0cdbabe1	cap_per_jsic
A	UNI-7d1ec582a9	cap_per_jsic
A	UNI-7d9a42d079	cap_per_jsic
A	UNI-7fb599da8e	cap_per_jsic
A	UNI-81c7fb2813	cap_per_jsic
A	UNI-82027555c8	cap_per_jsic
A	UNI-866124907c	cap_per_jsic
A	UNI-8886896d67	cap_per_jsic
A	UNI-89753ecac5	cap_per_jsic
A	UNI-8fc7acd2eb	cap_per_jsic
A	UNI-8ff4d2714c	cap_per_jsic
A	UNI-911aaf8dbc	cap_per_jsic
A	UNI-93d45d06e6	cap_per_jsic
A	UNI-96c55bf66c	cap_per_jsic
A	UNI-97d0f28956	cap_per_jsic
A	UNI-9be753fd52	cap_per_jsic
A	UNI-9e04754fb6	cap_per_jsic
A	UNI-9f0c6dcfd1	cap_per_jsic
A	UNI-a02e37553e	cap_per_jsic
A	UNI-aad3e0e22b	cap_per_jsic
A	UNI-b343d1edfd	cap_per_jsic
A	UNI-b37fa76f3e	cap_per_jsic
A	UNI-b81b2cd7e4	cap_per_jsic
A	UNI-b8c88bc151	cap_per_jsic
A	UNI-bad619a29b	cap_per_jsic
A	UNI-c6c02ca8cc	cap_per_jsic
A	UNI-c8f01ac173	cap_per_jsic
A	UNI-ccf830708b	cap_per_jsic
A	UNI-ce94681962	cap_per_jsic
A	UNI-d304ed2b1f	cap_per_jsic
A	UNI-d41a8e6c0b	cap_per_jsic
A	UNI-d4a0f5ab8e	cap_per_jsic
A	UNI-d554b111ee	cap_per_jsic
A	UNI-d8f344cf50	cap_per_jsic
A	UNI-d911ff94f4	cap_per_jsic
A	UNI-da20b144ae	cap_per_jsic
A	UNI-e21fb1c6ba	cap_per_jsic
A	UNI-e392a5b3a4	cap_per_jsic
A	UNI-e6e008e0bf	cap_per_jsic
A	UNI-e6e3de9732	cap_per_jsic
A	UNI-e78555b434	cap_per_jsic
A	UNI-e8a7d0ff5a	cap_per_jsic
A	UNI-ee27f81971	cap_per_jsic
A	UNI-ext-2c55be6618	cap_per_jsic
A	UNI-ext-42209dc91d	cap_per_jsic
A	UNI-ext-4a8796bb81	cap_per_jsic
A	UNI-ext-57849207ab	cap_per_jsic
A	UNI-ext-6117c98df0	cap_per_jsic
A	UNI-ext-65f7675977	cap_per_jsic
A	UNI-ext-66350d6550	cap_per_jsic
A	UNI-ext-71e44b8b50	cap_per_jsic
A	UNI-ext-815c249831	cap_per_jsic
A	UNI-ext-889eac93eb	cap_per_jsic
A	UNI-ext-9c2f0f0b09	cap_per_jsic
A	UNI-ext-9f26644324	cap_per_jsic
A	UNI-ext-a5d019db31	cap_per_jsic
A	UNI-ext-b47cc776a8	cap_per_jsic
A	UNI-ext-c57a6bf0e1	cap_per_jsic
A	UNI-ext-d7d16347f7	cap_per_jsic
A	UNI-ext-d9106216b9	cap_per_jsic
A	UNI-ext-e8bd0ab83d	cap_per_jsic
A	UNI-ext-ed99865007	cap_per_jsic
A	UNI-fc5dc66202	cap_per_jsic
A	UNI-ffc8ad09c4	cap_per_jsic
A	UNI-ffd0553692	cap_per_jsic
A	UNI-ffdb51bf7a	cap_per_jsic
A	UNI-070a873b17	cap_per_jsic
A	UNI-2c8a1bd737	cap_per_jsic
A	UNI-308f12c387	cap_per_jsic
A	UNI-353e8af77b	cap_per_jsic
A	UNI-353ed5c483	cap_per_jsic
A	UNI-6526ce35b8	cap_per_jsic
A	UNI-7694aecbfa	cap_per_jsic
A	UNI-8a4ad7626a	cap_per_jsic
A	UNI-99dd1e92c2	cap_per_jsic
A	UNI-b7bf996f89	cap_per_jsic
